dataset,기준_년분기_코드,year,quarter,row_count,unique_area_count,unique_industry_count
직장인구-상권,20253,2025,3,1641,1641,0
직장인구-상권,20254,2025,4,1641,1641,0
직장인구-상권,20261,2026,1,1641,1641,0
직장인구-상권배후지,20211,2021,1,1090,0,0
직장인구-상권배후지,20212,2021,2,1090,0,0
직장인구-상권배후지,20213,2021,3,1090,0,0
직장인구-상권배후지,20214,2021,4,1090,0,0
직장인구-상권배후지,20221,2022,1,1090,0,0
직장인구-상권배후지,20222,2022,2,1090,0,0
직장인구-상권배후지,20223,2022,3,1090,0,0
직장인구-상권배후지,20224,2022,4,1090,0,0
직장인구-상권배후지,20231,2023,1,1090,0,0
직장인구-상권배후지,20232,2023,2,1090,0,0
직장인구-상권배후지,20233,2023,3,1090,0,0
직장인구-상권배후지,20234,2023,4,1090,0,0
직장인구-상권배후지,20241,2024,1,1090,0,0
직장인구-상권배후지,20242,2024,2,1090,0,0
직장인구-상권배후지,20243,2024,3,1090,0,0
직장인구-상권배후지,20244,2024,4,1090,0,0
직장인구-상권배후지,20251,2025,1,1090,0,0
직장인구-상권배후지,20252,2025,2,1090,0,0
직장인구-상권배후지,20253,2025,3,1090,0,0
직장인구-상권배후지,20254,2025,4,1090,0,0
직장인구-상권배후지,20261,2026,1,1090,0,0
집객시설-상권,20211,2021,1,1578,1578,0
집객시설-상권,20212,2021,2,1578,1578,0
집객시설-상권,20213,2021,3,1578,1578,0
집객시설-상권,20214,2021,4,1578,1578,0
집객시설-상권,20221,2022,1,1578,1578,0
집객시설-상권,20222,2022,2,1578,1578,0
집객시설-상권,20223,2022,3,1578,1578,0
집객시설-상권,20224,2022,4,1578,1578,0
집객시설-상권,20231,2023,1,1578,1578,0
집객시설-상권,20232,2023,2,1578,1578,0
집객시설-상권,20233,2023,3,1578,1578,0
집객시설-상권,20234,2023,4,1578,1578,0
집객시설-상권,20241,2024,1,1578,1578,0
집객시설-상권,20242,2024,2,1578,1578,0
집객시설-상권,20243,2024,3,1578,1578,0
집객시설-상권,20244,2024,4,1578,1578,0
집객시설-상권,20251,2025,1,1578,1578,0
집객시설-상권,20252,2025,2,1578,1578,0
집객시설-상권,20253,2025,3,1578,1578,0
집객시설-상권,20254,2025,4,1578,1578,0
집객시설-상권,20261,2026,1,1578,1578,0
추정매출-상권,20211,2021,1,22239,1574,63
추정매출-상권,20212,2021,2,22325,1573,63
추정매출-상권,20213,2021,3,22232,1571,63
추정매출-상권,20214,2021,4,22354,1570,63
추정매출-상권,20221,2022,1,22255,1570,63
추정매출-상권,20222,2022,2,22250,1571,63
추정매출-상권,20223,2022,3,22113,1568,63
추정매출-상권,20224,2022,4,22216,1570,63
추정매출-상권,20231,2023,1,22106,1573,62
추정매출-상권,20232,2023,2,22083,1574,63
추정매출-상권,20233,2023,3,22017,1574,63
추정매출-상권,20234,2023,4,22040,1572,62
추정매출-상권,20241,2024,1,21910,1570,62
추정매출-상권,20242,2024,2,21887,1571,62
추정매출-상권,20243,2024,3,21718,1568,62
추정매출-상권,20244,2024,4,21664,1570,62
추정매출-상권,20251,2025,1,21427,1572,62
추정매출-상권,20252,2025,2,21452,1570,62
추정매출-상권,20253,2025,3,21520,1569,62
추정매출-상권,20254,2025,4,21333,1565,62
